runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec,logEta,logV,logFlux,distsEta,distsV,probability
1045,0.3910794491789078,0.1283266865603705,0.0564880120527898,0.0455030935535793,143.65081787109398,34,N,58.17849658724213,64.52770982468044,-0.40773500517468453,-0.8916830192234513,-1.2480437088482943,-0.07566508275070072,0.025755106290850538,18.128758194326963
1050,0.4014205118140109,0.0651889477550864,0.1017065838179017,0.0892206641021598,143.65081787109398,60,N,57.6133856320694,65.86097067803203,-0.396400439671055,-1.1858260290510505,-0.992650932787817,-0.21582132834531476,-0.10465578905320072,17.82062698816003
995,0.5294840183476567,0.0885059184010546,0.070693530836881,0.059638917024393,143.65081787109398,60,N,60.24214198566432,66.19073543868087,-0.2761471438627684,-1.0530276870086301,-1.1506203266612451,-0.0018656499727043308,-0.07313150527332113,17.792223908348106
895,0.4126543657803192,0.1104925258525605,0.0488659621333978,0.0399130969628415,143.65081787109398,47,N,63.613460288142726,65.0890752302883,-0.3844135558029764,-0.9566670983659553,-1.3109935458835171,-0.015003807178466277,-0.079586065496009,17.428869532531394
1046,0.4466155621412026,0.054538392701258,0.1184916838655121,0.1068594424562254,143.65081787109398,60,N,58.033019480286015,64.5872375642256,-0.3500661481828522,-1.2632976652807162,-0.926312128793579,-0.2088370896635967,-0.1395976684986957,17.329761179227603
959,0.4893060561762772,0.069463990031215,0.114796854142392,0.1031944415366235,143.65081787109398,60,N,61.38648668376705,63.229184846777486,-0.31041940891273356,-1.1582402743110225,-0.9400700130471018,-0.161029614304105,-0.043360446659846064,17.210549028982385
943,1.5642418407810237,0.0156453488350748,0.9733157891573324,0.9358611058151058,143.65081787109398,60,N,61.93297107358995,66.82569383325307,0.19430389833837486,-1.8056147492030454,-0.011746231429630695,-0.20695822762931526,-0.09558725122935674,17.085622500000582
988,0.415516522292954,0.0969964546018002,0.0755925761173938,0.0623568735544876,143.65081787109398,60,N,60.28593592272302,66.80115286177859,-0.3814117025706164,-1.0132441397029743,-1.1215208540962216,-0.12439108335917914,-0.014692308238954732,16.33510273042681
1041,0.5326623033516066,0.0478831627473971,0.1458845701506183,0.1307847212031548,143.65081787109398,60,N,58.24788284940736,65.30154646297915,-0.2735480372599903,-1.319817171582704,-0.8359906399284118,-0.18589479172514373,-0.13821213698671597,16.32254326021318
969,0.600539268467531,0.0559556923563544,0.1246175541790999,0.1096190264355488,143.65081787109398,60,N,60.97642658556042,66.37565952264482,-0.22145858939150384,-1.2521557262365521,-0.9044207767287001,-0.09321477944310227,-0.11442120029604985,16.29863676641709
1049,2.8145418557127835,0.0362899942749503,0.5348523573285201,0.4990747472501966,143.65081787109398,60,N,57.76733860603408,64.9949767673472,0.449407711539456,-1.44021310031302,-0.2717660857296533,0.2023810312142449,0.10311586683705087,15.411129898743297
945,6.350973481734296,0.0148494080079683,2.4000520056342887,2.3501105176683863,143.65081787109398,60,N,61.83046715382129,63.50133399855555,0.8028402993615734,-1.8282908597472691,0.38022065234297997,0.16907597790381712,0.13302630928751258,15.296562668106304
919,0.6973329045612382,0.0365757099048703,0.2431739736526639,0.2270577890912676,143.65081787109398,60,N,62.57964008872538,63.52378636862417,-0.15655984156086772,-1.4368072358171198,-0.6140829084448736,-0.20053515165694447,-0.11293732334751727,14.745228610276357
1044,0.4605726516714039,0.0860823869834285,0.0890726636032938,0.0706649700545223,143.65081787109398,60,N,58.25417650196113,64.52385512574581,-0.3367018535641897,-1.0650856989342086,-1.0502555604729291,-0.12195352294556117,-0.02084574193186306,13.624551300155403
994,0.6570575149454768,0.0629076986560687,0.1520631744745523,0.1313699296514366,143.65081787109398,60,N,60.4265604927057,63.26765747531635,-0.18239661319488648,-1.2012962022613722,-0.8179759474123952,-0.105429106007982,-0.008141961995134839,13.425769221300357
880,1.0165624926937773,0.0332762705004744,0.2921282601013046,0.2736265196789239,143.65081787109398,60,N,64.60431888750783,66.0780147307661,0.007134081840592825,-1.4778653540107107,-0.5344264279207036,-0.08409090003547354,-0.10292773246287079,13.373177030376326
1005,0.4933706424134028,0.1025559201567797,0.0598281134647376,0.0462288974543464,143.65081787109398,60,N,59.779660847099066,65.49688864472532,-0.3068266963890221,-0.9890392644305694,-1.2230946913710867,0.010444268319605599,-0.05560634278756715,13.336802889059697
1047,0.5041551362264091,0.0884414211732473,0.0922541331734982,0.074115435350708,143.65081787109398,60,N,58.0821348532178,64.25767472385249,-0.29743580395153557,-1.0533442873196905,-1.035014167453647,-0.09172817928541754,0.0006669151548874819,12.855197156022868
1014,0.4662171408978728,0.0874030848164393,0.0881945356831738,0.0741720894581087,143.65081787109398,60,N,59.37904346010593,66.62242270040377,-0.3314117632896742,-1.0584732390462046,-1.0545583218541201,-0.11411117249496111,-0.016991779092709658,12.804384101732339
884,0.4788834644297856,0.0588635757094881,0.1189131236548211,0.1038868719834658,143.65081787109398,60,N,64.51889196446236,66.07605879032809,-0.31977015863682645,-1.2301533599100014,-0.9247702125272305,-0.17945571543848127,-0.10546484178238869,12.042998055870015
889,0.6080143470931495,0.1163881946033706,0.0611532745522798,0.0510427437059379,143.65081787109398,56,N,64.06187371826313,63.9715644491957,-0.21608617271760736,-0.9340910684715591,-1.2135802829954754,0.09554114981689718,0.005441533144497468,11.781603743233347
1021,0.4422241755499647,0.0844866671136076,0.0701653235905686,0.0596157364520223,143.65081787109398,60,N,59.24390965935249,65.38528560523332,-0.3543575190595372,-1.0732118218888522,-1.1538774675568213,-0.07814399356018725,-0.09540379070435301,11.575912012528775
893,0.6115998507818015,0.1603058702845741,0.0541412431615139,0.0391928180749048,143.65081787109398,35,N,63.74512652008554,66.26696867735201,-0.2135326292189198,-0.7950505738060674,-1.2664717764194626,0.129468232389767,0.11057333160453575,11.218744981928978
946,0.4782685515867099,0.0978545067986748,0.0801109067484356,0.0634635156954746,143.65081787109398,60,N,61.80172607103739,64.14651259299838,-0.3203281750999811,-1.00941916762762,-1.0963083526023638,-0.07826280387964502,0.005296379367771609,11.041611554321406
1184,0.8770008377366787,0.1164590282061792,0.0849659033532057,0.0683470185616996,143.65081787109398,60,N,60.38822498463057,64.04162339680505,-0.056999991783055176,-0.933826838188622,-1.0707553208311693,0.16990813979742223,0.0972707380399388,10.824126648304713
