runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec,logEta,logV,logFlux,distsEta,distsV,probability
956,286.7414014697532,0.0864066622599616,2.585026402934908,2.006472110296028,143.65081787109398,60,N,61.40891592969706,64.91922523380563,2.457490403555944,-1.0634527705860324,0.4124649832482892,1.8045997782241554,0.9185362144674738,99.99983497424807
915,10.3251255602384,1.504820618193733,0.0669060167694486,0.0036200164946214,143.65081787109398,5,N,62.79613317264787,66.44295234468146,1.013895341663753,0.17748473303834914,-1.174534824948577,1.3023621496352835,1.1420493481107434,99.99975437237644
1157,23.84714902828801,0.3380255570070627,0.1253911370530475,0.1119048706840084,143.65081787109398,58,N,62.56119908984087,64.90320677989791,1.3774364657538312,-0.47105046289530067,-0.9017331593983208,1.5040860672223326,0.6684070924715368,99.9964003278431
877,2.46033277032667,0.6548367537489425,0.0708852365394306,0.0259538550400876,143.65081787109398,5,N,64.71259750434264,65.05867478669859,0.39099385122642133,-0.18386695311104037,-1.1494442070891862,0.6645777086732465,0.7967832379873725,99.97812050527493
1158,16.23762465172596,0.4511377121198529,0.1253911370530475,0.0481400371969392,143.65081787109398,60,N,62.54696235765627,64.90657814608198,1.2105224980517664,-0.34569086724726644,-0.9017331593983208,1.3371720995202678,0.7937666881195711,99.92107521580711
1033,70.43718915942505,0.0926664738559261,1.83005086363251,1.4398079801439208,143.65081787109398,60,N,58.50884192218745,66.35430849546196,1.8478020168450981,-1.0330773624353393,0.2624631604888714,1.2838876662011185,0.8527455681367746,99.92069458477036
1136,8.799628404908722,0.1792672308901982,0.1253911370530475,0.1127098051937952,143.65081787109398,60,N,62.56522066728404,64.90238216097494,0.9444643329336857,-0.7464990899369872,-0.9017331593983208,1.0711139344021872,0.39295846542985036,99.8096133227772
1009,68.80300400081993,0.0637770758021655,2.190598105819771,1.8360930682562988,143.65081787109398,60,N,59.54159674480426,65.83038181180217,1.8376074003357854,-1.195335397167333,0.3405627078050333,1.2273669008013244,0.7405570937875499,99.7654886020543
876,3.987164718540713,0.5282516525229062,0.0853795398067953,0.0694889154321649,143.65081787109398,35,N,64.72785079119,65.01821045218384,0.6006641776928977,-0.2771591356756361,-1.068646190360229,0.8263212406617902,0.755290602493664,99.70625446029874
1007,1.240938167812888,0.4365874509573604,0.0636850892985826,0.0323451890926113,143.65081787109398,2,N,59.5858487235073,65.82832982626451,0.09375014246031976,-0.3599287515822083,-1.1959622378901384,0.39492700518095347,0.5908987653507962,99.66867811682036
