,Image,Flux,FluxErr,Type,Time,Freq
0,1412,0.05038448624755236,0.007338872215925638,0,2020-10-06 01:22:37.500,0.144
1,1413,0.04070397071308423,0.006898620071874704,0,2020-10-06 01:24:36.600,0.144
2,1414,0.0515562277675391,0.0060344377934790595,0,2020-10-06 01:26:36.800,0.144
3,1415,0.04799801034646597,0.0066855380213719446,0,2020-10-06 01:28:36.900,0.144
4,1416,0.040171141168154074,0.005938333233666025,0,2020-10-06 01:30:37.100,0.144
5,1417,0.1097162138290592,0.007145573722917257,0,2020-10-06 01:32:37.300,0.144
6,1418,0.1017991877817299,0.006864143369207231,0,2020-10-06 01:34:37.500,0.144
7,1419,0.11851032875806333,0.005855789796541982,0,2020-10-06 01:36:36.600,0.144
8,1420,0.11134334186082129,0.006592966118277526,0,2020-10-06 01:38:36.800,0.144
9,1421,0.10584136717914135,0.007908382122884994,0,2020-10-06 01:40:36.900,0.144
10,1422,0.11612981382605413,0.006937600614886876,0,2020-10-06 01:42:37.100,0.144
11,1423,0.11856462041716462,0.006929122939279332,0,2020-10-06 01:44:37.300,0.144
12,1424,0.11541364343529756,0.007387766474686713,0,2020-10-06 01:46:37.400,0.144
13,1425,0.11608452519741967,0.006428791461485706,0,2020-10-06 01:48:36.600,0.144
14,1426,0.11183361658307645,0.006092751340559359,0,2020-10-06 01:50:36.800,0.144
15,1427,0.12539113705304758,0.006437099650816937,0,2020-10-06 01:52:36.900,0.144
16,1428,0.04431576068629019,0.006852506918741704,0,2020-10-06 01:54:37.100,0.144
17,1429,0.044063942044194525,0.006191066941803454,0,2020-10-06 01:56:37.300,0.144
18,1430,0.04648707088189443,0.007258002664808463,0,2020-10-06 01:58:37.400,0.144
19,1431,0.04327561324755376,0.006662587848617728,0,2020-10-06 02:00:36.600,0.144
20,1432,0.04514543921048135,0.006959911176667619,0,2020-10-06 02:02:36.800,0.144
21,1433,0.045799646122384616,0.007480352847833161,0,2020-10-06 02:04:36.900,0.144
22,1434,0.04994745712081429,0.0068672350479921495,0,2020-10-06 02:06:37.100,0.144
23,1435,0.051338779876755586,0.006578363559210822,0,2020-10-06 02:08:37.300,0.144
24,1436,0.05381829867821116,0.006826033981276115,0,2020-10-06 02:10:37.400,0.144
25,1437,0.11520284386212633,0.007476373668844491,0,2020-10-06 02:12:36.600,0.144
26,1438,0.017954122584257715,0.006349404692526858,1,2020-10-06 02:14:36.800,0.144
27,1439,0.016286057612173707,0.006251658345408294,1,2020-10-06 02:16:36.900,0.144
28,1440,0.12147889663433728,0.006359695495930082,0,2020-10-06 02:18:37.100,0.144
29,1441,0.11154101455702635,0.006307373052118382,0,2020-10-06 02:20:37.300,0.144
30,1442,0.11215000257481413,0.007001393879160222,0,2020-10-06 02:22:37.400,0.144
31,1443,0.11359425344466298,0.0060643817409759895,0,2020-10-06 02:24:36.600,0.144
32,1444,0.11583886288572134,0.0056653819571414665,0,2020-10-06 02:26:36.800,0.144
33,1445,0.10841052360463085,0.0056512008427600235,0,2020-10-06 02:28:36.900,0.144
34,1446,0.11680746309916523,0.00599395205917508,0,2020-10-06 02:30:37.100,0.144
35,1447,0.11225993755016749,0.005993191240872852,0,2020-10-06 02:32:37.300,0.144
36,1448,0.11318712855428822,0.005947215702838872,0,2020-10-06 02:34:37.400,0.144
37,1449,0.11516092344308426,0.006049322824942405,0,2020-10-06 02:36:36.600,0.144
38,1450,0.10946844451793974,0.006320643062441219,0,2020-10-06 02:38:36.800,0.144
39,1451,0.11464649665530925,0.0054074985987352464,0,2020-10-06 02:40:36.900,0.144
40,1452,0.11273356574627097,0.006113081069019206,0,2020-10-06 02:42:37.100,0.144
41,1453,0.11655031977369976,0.008381672317747495,0,2020-10-06 02:44:37.300,0.144
42,1454,0.11197612478494046,0.007186082175679948,0,2020-10-06 02:46:37.400,0.144
43,1455,0.11411941616739814,0.006392491173364509,0,2020-10-06 02:48:36.600,0.144
44,1456,0.11071922765930783,0.006149897963633642,0,2020-10-06 02:50:36.800,0.144
45,1457,0.118795184997752,0.006184166730186985,0,2020-10-06 02:52:36.900,0.144
46,1458,0.1070401824356798,0.005986254832419886,0,2020-10-06 02:54:37.100,0.144
47,1459,0.11265834076910242,0.006972063678656626,0,2020-10-06 02:56:37.300,0.144
48,1460,0.11238940717600315,0.006843271227189879,0,2020-10-06 02:58:37.400,0.144
49,1461,0.10911795606197566,0.006624568399315171,0,2020-10-06 03:00:36.600,0.144
50,1462,0.10520048299834056,0.00616709581066394,0,2020-10-06 03:02:36.800,0.144
51,1463,0.10926860689597455,0.006526292967019085,0,2020-10-06 03:04:36.900,0.144
52,1464,0.1147086249671302,0.006170096331844357,0,2020-10-06 03:06:37.100,0.144
53,1465,0.11510042764072717,0.006218546731627488,0,2020-10-06 03:08:37.300,0.144
54,1466,0.11674895124951522,0.005766559882845953,0,2020-10-06 03:10:37.400,0.144
55,1467,0.1130568646327535,0.007348805820396731,0,2020-10-06 03:12:36.600,0.144
56,1468,0.11304090615975779,0.006763467961694574,0,2020-10-06 03:14:36.800,0.144
57,1469,0.10256400214725156,0.00674945161542554,0,2020-10-06 03:16:36.900,0.144
58,1470,0.11299988278017307,0.006366019490175198,0,2020-10-06 03:18:37.100,0.144
59,1471,0.11261584942799424,0.006106203629767585,0,2020-10-06 03:20:37.300,0.144
