runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec
887,0.9155361498823394,0.045343033508405066,0.17733467969146735,0.16216005828897792,143.65081787109398,60,N,64.16346128411081,65.03740322652747
888,0.5418563334495271,0.07947938258216528,0.09773022930056498,0.07675439811336113,143.65081787109398,60,N,64.28176885254179,66.37677912456384
889,0.6080143470931495,0.11638819460337063,0.0611532745522798,0.05104274370593799,143.65081787109398,56,N,64.06187371826313,63.9715644491957
890,2.5125642484600177,0.03847496414370836,0.3388786627015181,0.3193247654085891,143.65081787109398,60,N,64.15659557351493,65.65070681969651
891,1.173626030667747,0.0079945649314914,1.1730160580263813,1.1542261763723336,143.65081787109398,60,N,63.89890161531732,65.29037106489214
893,0.6115998507818015,0.16030587028457413,0.05414124316151393,0.03919281807490482,143.65081787109398,35,N,63.74512652008554,66.26696867735201
894,0.6196556105564087,0.08519993577438065,0.07017753541221325,0.05954336830235471,143.65081787109398,60,N,63.65658967908742,65.47410603722489
895,0.4126543657803192,0.11049252585256056,0.04886596213339787,0.039913096962841524,143.65081787109398,47,N,63.613460288142726,65.0890752302883
896,0.502377866039574,0.1112847986516568,0.08686236569121478,0.06507674407182865,143.65081787109398,60,N,63.44830086441582,63.29192745328906
897,0.806100999365922,0.11681321555636866,0.11500713224398496,0.08939478194818305,143.65081787109398,60,N,63.64874308001523,66.62601097419684
898,3.300498889463971,0.05990305417170605,0.2015765333636694,0.1867667918373108,143.65081787109398,60,N,63.54448390992626,65.65876113925187
899,0.4464557528268139,0.11225781781685246,0.08029218336235272,0.060464537490414916,143.65081787109398,47,N,63.3404831829067,63.36127506094532
900,0.3750067677044939,0.1452315818892261,0.04444057975583952,0.036299464840336054,143.65081787109398,9,N,63.494377562588,66.21209824182318
901,0.931512525177137,0.052805958179891026,0.16230066892585915,0.1426273689089027,143.65081787109398,60,N,63.33227728594922,64.05890780945909
902,0.5879939145280464,0.052893912094599836,0.1145045259971357,0.10168346110225841,143.65081787109398,60,N,63.40751881784503,65.83963647103295
903,0.5587074261597176,0.04247667652065474,0.24661558956945706,0.22093347963391066,143.65081787109398,60,N,63.40805738890753,66.9113041229303
904,0.5163020285389051,0.15058926707288361,0.04996252830665277,0.03603769893036218,143.65081787109398,33,N,63.17992555519484,64.43251128917535
905,0.630603195271147,0.03681836237332192,0.14227290765777972,0.13318372806429582,143.65081787109398,60,N,63.185519264847564,64.85427189909903
906,2.2275887881909964,0.007048393184329117,3.7105075579924818,3.6382105571182812,143.65081787109398,60,N,63.23990879427896,66.60954466272509
907,0.4856656678242043,0.09730191835726594,0.14921934736339187,0.12218284320605348,143.65081787109398,60,N,63.25242003726513,66.58965384734209
908,0.49271505280252875,0.10736471735583383,0.1428762665706325,0.10891533478064802,143.65081787109398,60,N,63.22622100007715,66.62908319562759
909,0.8382217185872227,0.1175829846577592,0.05962544843717799,0.04945070833953856,143.65081787109398,60,N,63.144769285016835,65.07822734728454
910,0.5677538468873378,0.02556651200835636,0.22786082356060777,0.21692082613628583,143.65081787109398,60,N,63.1299186597334,65.68261972556598
911,0.49860526145646733,0.025012350681388674,0.18886401248721113,0.17737489590181194,143.65081787109398,60,N,63.06745525427263,65.09909086585125
912,0.560595261753694,0.02626866986381384,0.21965379664851212,0.2057041123808988,143.65081787109398,60,N,63.007316063095935,64.51128718827538
913,0.6592249268643751,0.015067711015583216,0.3584602483653507,0.3488645813442882,143.65081787109398,60,N,63.035637026796756,65.58512223232934
914,0.5886793670801668,0.1605806550199113,0.03850775535955572,0.028963813959476604,143.65081787109398,29,N,62.95499137280418,64.9553537506668
915,10.325125560238401,1.504820618193733,0.06690601676944868,0.0036200164946214143,143.65081787109398,5,N,62.79613317264787,66.44295234468146
916,0.5361052320196132,0.14078115322051415,0.07347978471238405,0.0531726985589274,143.65081787109398,46,N,62.74937161336113,66.5153030418297
917,0.611174753244708,0.1379793930847074,0.04568052208967234,0.03616416392683053,143.65081787109398,54,N,62.68905276988605,65.00331217068006
918,0.5260336329542856,0.17366697835705228,0.03702393324968308,0.024578835536493295,143.65081787109398,14,N,62.64500481262257,65.53706013210596
919,0.6973329045612382,0.036575709904870315,0.24317397365266394,0.22705778909126767,143.65081787109398,60,N,62.57964008872538,63.52378636862417
920,0.6663373903400823,0.1557985887402417,0.08128050188204,0.06373294837446122,143.65081787109398,41,N,62.66309452751608,66.90109321997895
921,0.8669567666469322,0.1272401181854169,0.12175690912988052,0.0915753816713478,143.65081787109398,51,N,62.5553098427377,63.4111428156738
922,4.110831468006202,0.03722033376149029,0.8359982421844997,0.7860131790077443,143.65081787109398,60,N,62.544704029403285,63.338554185415845
923,0.5524623139721089,0.04334285479729718,0.12539113705304758,0.11302039446996542,143.65081787109398,60,N,62.56728712104592,64.90192169673995
925,0.5020945796534257,0.03621102885592641,0.17077337149766292,0.15768266075705262,143.65081787109398,60,N,62.5765999400874,66.35228105766065
926,6.842155311562521,0.07526888882828962,0.2625663385328643,0.22057564973927432,143.65081787109398,60,N,62.51185797606448,65.04927259934234
927,0.7190698077322759,0.023972874617819353,0.4581897148823921,0.4328099113243365,143.65081787109398,60,N,62.56298589880536,66.92018215106765
928,0.5187488498729108,0.08235850597252076,0.096921212067233,0.07821212828361612,143.65081787109398,60,N,62.461494337519625,63.91636511240205
929,0.5415179648261499,0.0757112322617922,0.10596055528296269,0.08889368876586828,143.65081787109398,60,N,62.40746429843774,63.881541280527024
930,0.5511437824285449,0.11912498862059478,0.04918064690807528,0.04128774836497748,143.65081787109398,58,N,62.406796021132884,65.01803960808591
931,0.42031581778984417,0.022500014187017855,0.18557796301738666,0.1731203919376928,143.65081787109398,60,N,62.40325782647525,65.3448233754299
932,0.7984131046755055,0.14385608197195662,0.0523656371567229,0.042315652090863645,143.65081787109398,40,N,62.34789320862352,65.67095479862814
933,1.8934401456117709,0.24442943110987736,0.11785931708514626,0.0843632095156086,143.65081787109398,40,N,62.30876365365552,64.34447424853536
934,4.871432536464926,0.06667170738014523,0.2478964478115611,0.2110851100439015,143.65081787109398,60,N,62.32682976916087,65.80694517317656
935,7.207859805814593,0.009754388015846861,4.480740211306621,4.430523321131695,143.65081787109398,60,N,62.26619873532256,64.34255519098338
936,0.452412534903256,0.11024624872632334,0.11712650840450792,0.09471513741390047,143.65081787109398,58,N,62.281766796807005,64.32322138917087
