,Image,Flux,FluxErr,Type,Time,Freq
0,1412,2.585026402934908,0.01075930111629415,0,2020-10-06 01:22:37.500,0.144
1,1413,2.54672674484849,0.009472482997135821,0,2020-10-06 01:24:36.600,0.144
2,1414,2.497872046179595,0.00966646154267209,0,2020-10-06 01:26:36.800,0.144
3,1415,2.4556668732101192,0.010547522391542842,0,2020-10-06 01:28:36.900,0.144
4,1416,2.4169119067778535,0.011411690014191638,0,2020-10-06 01:30:37.100,0.144
5,1417,2.402552587513233,0.011175121714649969,0,2020-10-06 01:32:37.300,0.144
6,1418,2.3509907399726346,0.01075228810680852,0,2020-10-06 01:34:37.500,0.144
7,1419,2.322075057399561,0.011472986730353277,0,2020-10-06 01:36:36.600,0.144
8,1420,2.307705490606862,0.011072235356099374,0,2020-10-06 01:38:36.800,0.144
9,1421,2.2543513587632766,0.011837381722392697,0,2020-10-06 01:40:36.900,0.144
10,1422,2.244671397473032,0.010658718455158223,0,2020-10-06 01:42:37.100,0.144
11,1423,2.242954787871574,0.010096849034116312,0,2020-10-06 01:44:37.300,0.144
12,1424,2.191349406576831,0.010133966213449622,0,2020-10-06 01:46:37.400,0.144
13,1425,2.1792424658812717,0.010566907514132345,0,2020-10-06 01:48:36.600,0.144
14,1426,2.17723517137838,0.01155765921729032,0,2020-10-06 01:50:36.800,0.144
15,1427,2.1796015628776,0.011802975841446918,0,2020-10-06 01:52:36.900,0.144
16,1428,2.171299174869733,0.010627159441205465,0,2020-10-06 01:54:37.100,0.144
17,1429,2.0962441196861623,0.010449116707414373,0,2020-10-06 01:56:37.300,0.144
18,1430,2.1321670147603897,0.01086001218160109,0,2020-10-06 01:58:37.400,0.144
19,1431,2.1087049824194124,0.010897108251541256,0,2020-10-06 02:00:36.600,0.144
20,1432,2.077458739632488,0.011201983143764842,0,2020-10-06 02:02:36.800,0.144
21,1433,2.093403777293382,0.01191481374300918,0,2020-10-06 02:04:36.900,0.144
22,1434,2.0803065686477096,0.010078381535621113,0,2020-10-06 02:06:37.100,0.144
23,1435,2.06837127100085,0.009557853448547409,0,2020-10-06 02:08:37.300,0.144
24,1436,2.06047804797845,0.011758621839017538,0,2020-10-06 02:10:37.400,0.144
25,1437,2.043114104372437,0.009520863652217128,0,2020-10-06 02:12:36.600,0.144
26,1438,2.041837499006732,0.01204975461789928,0,2020-10-06 02:14:36.800,0.144
27,1439,2.0220706468180243,0.011474454540895514,0,2020-10-06 02:16:36.900,0.144
28,1440,2.027407617614319,0.011411338894440895,0,2020-10-06 02:18:37.100,0.144
29,1441,2.008902489044891,0.00974481229328117,0,2020-10-06 02:20:37.300,0.144
30,1442,2.004041731547164,0.011248850855834078,0,2020-10-06 02:22:37.400,0.144
31,1443,1.9984393703183438,0.009489417684203614,0,2020-10-06 02:24:36.600,0.144
32,1444,1.9902368002244972,0.011919261365680642,0,2020-10-06 02:26:36.800,0.144
33,1445,1.99361022600068,0.011679830554593639,0,2020-10-06 02:28:36.900,0.144
34,1446,1.9720048695370516,0.010162126349845703,0,2020-10-06 02:30:37.100,0.144
35,1447,1.9747396325703253,0.012302698520672992,0,2020-10-06 02:32:37.300,0.144
36,1448,1.9652486629745711,0.01182753401300636,0,2020-10-06 02:34:37.400,0.144
37,1449,1.9625250633732798,0.011164031681603126,0,2020-10-06 02:36:36.600,0.144
38,1450,1.9865317549702661,0.011608506978668868,0,2020-10-06 02:38:36.800,0.144
39,1451,1.9720518948707586,0.011391285802365364,0,2020-10-06 02:40:36.900,0.144
40,1452,1.9703042565699163,0.01112679990225471,0,2020-10-06 02:42:37.100,0.144
41,1453,1.9780321035344137,0.010232320825130684,0,2020-10-06 02:44:37.300,0.144
42,1454,1.9516879493865626,0.010944485708851318,0,2020-10-06 02:46:37.400,0.144
43,1455,1.941755711099947,0.010660519946923729,0,2020-10-06 02:48:36.600,0.144
44,1456,1.9325588087732262,0.01113991396559387,0,2020-10-06 02:50:36.800,0.144
45,1457,1.9317590855944775,0.011742862254564142,0,2020-10-06 02:52:36.900,0.144
46,1458,1.9212375440481821,0.011404620525335321,0,2020-10-06 02:54:37.100,0.144
47,1459,1.9344398662610318,0.011909311602604201,0,2020-10-06 02:56:37.300,0.144
48,1460,1.9124921870815985,0.011578137078810809,0,2020-10-06 02:58:37.400,0.144
49,1461,1.9235852582120347,0.010911090103364747,0,2020-10-06 03:00:36.600,0.144
50,1462,1.9189784529108997,0.010818472259811997,0,2020-10-06 03:02:36.800,0.144
51,1463,1.9099532185191452,0.010585980042195343,0,2020-10-06 03:04:36.900,0.144
52,1464,1.9395849528230427,0.011337249521473747,0,2020-10-06 03:06:37.100,0.144
53,1465,1.915587286570807,0.011199507217338277,0,2020-10-06 03:08:37.300,0.144
54,1466,1.9036175513176945,0.01114175672143855,0,2020-10-06 03:10:37.400,0.144
55,1467,1.90780408731237,0.010288916185354212,0,2020-10-06 03:12:36.600,0.144
56,1468,1.9171608140581338,0.012074010259672998,0,2020-10-06 03:14:36.800,0.144
57,1469,1.931182016341879,0.010936615533940564,0,2020-10-06 03:16:36.900,0.144
58,1470,1.926258996990342,0.010827549857093988,0,2020-10-06 03:18:37.100,0.144
59,1471,1.9087361433304184,0.009407732623047227,0,2020-10-06 03:20:37.300,0.144
