  Runcat       RA      DEC     Eta       V    Dists eta    Dists V     Percentage
   43454  63.2227  65.3154  -0.135  -0.658        0.220      0.116  80.5596347657
   43535  65.7947  63.8366  -0.192  -0.630        0.163      0.143  80.8835185451
   43432  62.5447  63.3385   0.303  -1.538        0.207      0.118  81.7494045283
   43339  60.2805  66.8187  -0.069  -0.488        0.338      0.183  82.3433772863
   43477  63.8624  64.6911  -0.170  -0.555        0.230      0.131  83.8990317826
   43515  65.0921  64.3757   0.048  -1.024        0.209      0.130  84.1932064345
   43260  58.0452  64.2550  -0.033  -0.485        0.362      0.211  85.8772349386
   43402  61.7362  64.1584   0.131  -1.049        0.263      0.161  88.6785953334
   43532  65.8502  64.8762   0.022  -0.658        0.330      0.206  91.2130888346
   43414  62.0798  66.0633  -0.067  -0.567        0.295      0.193  92.9705285695
   43395  61.6124  67.0243   0.078  -0.412        0.445      0.338  94.3529385761
   43501  64.7207  65.0385   0.635  -1.776        0.327      0.295  97.4170428221
   43393  61.5767  67.1568  -0.014  -0.484        0.340      0.290  99.3391377599
