runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc,ra,dec,logEta,logV,logFlux,distsEta,distsV,probability
39669,9.392498378862244,0.0526307561640687,2.032519367142916,1.9916750279340103,184.8617553711,6,N,237.69970129887636,52.99007731529394,0.9727811287765462,-1.278760390280588,0.3080346925210753,1.001396845043012,0.3878757672706281,97.06155379452059
38967,6.145954347032208,0.1287358629512323,0.8662332136741158,0.80941215521742,184.8617553711,6,N,180.34174411810292,55.03618169122045,0.7885893299350628,-0.8903004514469142,-0.06236516828702198,1.0608197264108286,0.5454327476382657,97.04317849001244
37390,1.181002482464636,0.1493462192430497,0.5490784232916909,0.4987038828870319,123.9242553711,6,N,116.9264371757568,51.0320914065174,0.07225081050052562,-0.8258057672524488,-0.26036562208823627,0.47470754434273515,0.4864962554263099,97.01469073807009
36724,12.781224681359978,0.0272258271737012,10.659762822728586,10.199162446606865,123.9242553711,8,N,67.19353196967529,55.30354228121257,1.1065724693837455,-1.5650189166588067,1.027747541845702,0.6618278143794937,0.5502778472773999,97.00665174407236
34946,18.16693346624236,0.0435341631169382,5.798736947639641,5.658511926267407,123.9242553711,7,N,157.9312099416259,52.42714284591236,1.259281625652356,-1.3611697998248724,0.7633334079757129,0.988444068034757,0.5892942731982918,97.00523333402595
38785,5.954229692847907,0.0455309167866102,1.6291946968389648,1.5951314474594394,184.8617553711,7,N,171.8463482052009,53.017489038098944,0.7748255841589209,-1.341693604878339,0.21197298775245585,0.8666217817476837,0.26505880493611156,96.97546918238302
36568,0.4501964323048338,0.1574016826102889,0.3210077875218684,0.2205262360563768,123.9242553711,5,N,60.895185020380815,53.45799348582359,-0.3465979509980115,-0.8029906293819236,-0.49348443165509404,0.2091827180084881,0.36398784299734954,96.92358838133681
37017,0.8098553823135536,0.1474929291370952,0.4653367789812384,0.4358802054875413,123.9242553711,5,N,89.47184743023386,50.65661497777361,-0.0915925271344844,-0.8312287994169991,-0.33223262062951553,0.3581316539174495,0.4362721735446995,96.90558183517305
37168,0.42339804008911,0.1022361757879503,0.4778884461517378,0.3842630279177194,123.9242553711,6,N,99.81354452662902,55.08737679795902,-0.37325115666250813,-0.9903954039553614,-0.3206734692348067,0.0688704865148993,0.2843114093340632,96.89680442175921
35870,0.6653447925047289,0.1094496518125523,0.5765567763091821,0.4871029643769462,123.9242553711,5,N,255.7216253886144,50.29433213264686,-0.17695323789048278,-0.9607856156961202,-0.23915791920421214,0.21155503564509037,0.3647370419135111,96.87896137730235
38873,28.53220837728,0.0270952778886974,8.944082338212548,8.854188561179937,184.8617553711,7,N,179.8061856135239,53.88541901303889,1.455335387112714,-1.5671063905121185,0.9515357886267356,1.0607157560437375,0.500680854252697,96.87862176648517
33997,5.667947581924104,0.1380433151239955,0.8123179675462051,0.7391297952979996,148.9242553711,6,N,146.21695866505445,52.04287914639213,0.7534258251699217,-0.8599846196299699,-0.0902739405612105,1.0440120239879922,0.5583505759267915,96.86620619723764
40923,1.944420665372164,0.3804135754553008,0.162279186691874,0.1409834003382356,184.8617553711,4,N,40.694788515527705,55.03059313837262,0.28879022812427196,-0.41974399320642364,-0.7897371775521108,1.0394184810239537,0.5625539684078932,96.86355199508446
36613,0.4316320225704025,0.1317697530882239,0.3751980733475261,0.3364801779382185,123.9242553711,7,N,59.65357742294314,54.44224182197864,-0.36488634269690207,-0.8801842678483374,-0.4257394004014121,0.14633792693993025,0.3290256678574124,96.84706864563579
37760,0.4656798599358212,0.0771701414354469,0.6630887468242178,0.6345204568631513,123.9242553711,4,N,211.736224199643,55.06480545989257,-0.33191254434744377,-1.1125507037855802,-0.1784283423694204,0.016653445172210346,0.250830064588323,96.84419361881629
35171,0.8163496207003168,0.1433362815205876,0.4808122357006816,0.3591627976046254,123.9242553711,6,N,198.1619593326193,54.54964831705067,-0.08812380469942968,-0.8436438663380638,-0.31802448894692736,0.35225558489207043,0.43271429040504106,96.82027426035893
33105,1.6206106818363188,0.3242549925252446,0.2308802825008485,0.2084878210191801,148.9242553711,2,N,85.58461391308379,53.62955741427963,0.20967869712032397,-0.4891133283989404,-0.6366131548555508,0.8595961675153905,0.5886403652335221,96.8194789276381
40818,2.106655435981148,0.3260480712806952,0.1706669243805922,0.1560127540546541,184.8617553711,2,N,40.95705972282367,53.036161615941886,0.3235935083232845,-0.48671836449387385,-0.7678506379411876,1.059826825067832,0.5092234109591436,96.8186727429239
37396,7.504222579400417,0.054375538161589,3.72448238153248,3.681425842573255,123.9242553711,7,N,118.57545761210562,53.9177054446814,0.8753057069770587,-1.2645964317485359,0.5710659242079577,0.7309238706724752,0.5660103316041036,96.8133712053977
31813,3.083250235910019,0.226395798020476,0.4088835852057844,0.4003546733479054,148.9242553711,3,N,261.6612182890418,53.10554462565849,0.489008773401407,-0.6451316380555664,-0.38840032402048147,0.9756748611533821,0.5873550429058007,96.81311651528802
26234,2.295409327195663,0.231201638267934,0.2188552711378835,0.2038710617851485,155.9555053711,4,N,155.56238244428528,54.64239809596253,0.36086014202631017,-0.636009092880389,-0.6598429889250829,1.0260560431038768,0.42726339279581826,96.80454550337055
37094,0.6642524075560489,0.1428524278560241,0.4347620221658732,0.3499702187045915,123.9242553711,7,N,97.56434314914053,52.063853646395046,-0.17766686283200622,-0.8451123741435835,-0.36174839992189156,0.2914700607564747,0.4039888058344694,96.79023816158224
40789,2.656368079139193,0.2654937310322753,0.2445403761494874,0.2173673472834212,184.8617553711,5,N,37.39324412688556,52.70470066578874,0.4242882527981722,-0.5759457292349914,-0.6116494241018061,1.057786896061024,0.5173700633486251,96.75373428639902
32593,59.56107254323594,0.0146216353532911,29.80048100611005,29.362722210748807,148.9242553711,4,N,51.83120773344292,55.341414233609946,1.774962509688181,-1.835004051099681,1.4742232740297265,1.0365675210149958,0.5586204833158801,96.7110029988138
27238,3.5502054807916608,0.152617714588673,0.4273196855110153,0.4237332511104904,155.9555053711,6,N,245.8723405290229,50.71974333098233,0.5502534901230907,-0.8163950541819063,-0.36924709990014,1.0243223631815335,0.42803152358153107,96.70533598340103
37761,0.4034927745218432,0.0922253496086434,0.5092569606985902,0.4789504077778139,123.9242553711,4,N,211.6565129129666,55.4644633630809,-0.3941642379267656,-1.0351496897708052,-0.2930630262014789,0.02979781621805816,0.25676915207350137,96.63342557957667
