runcat,eta,V,maxFlx,avgFlx,freq,dpts,newSrc
28,0.955126078787532,3.10602106117828,0.000774865694178963,8.52126627851422e-06,1283.8955078125,2,N
1463,0.289399465837453,0.217170934146243,0.000248443509891787,0.000157785512487733,1283.8955078125,50,N
1170,0.565968536030573,0.293518893388483,0.000197147781283912,0.000123249542378259,1283.8955078125,35,N
777,0.453674434713624,0.219985443208925,0.000248499768478666,0.000178286217810504,1283.8955078125,53,N
282,1.23822097073456,0.131248252957135,0.00478577811257523,0.00292080475235809,1283.8955078125,65,N
188,6.34007598866785,0.0785413570943441,0.0106531684981474,0.0071594679237697,1283.8955078125,65,N
510,0.55039328088789,0.140995428677394,0.00166651551800478,0.000977010369707956,1283.8955078125,65,N
1473,0.521470821452941,0.488808166810187,0.000268504967300645,9.7250511408877e-05,1283.8955078125,12,N
481,0.531900010357967,0.0932025732629914,0.00179953161361688,0.00112463831624541,1283.8955078125,65,N
484,12.1213095489338,0.117564935084383,0.00202689197654138,0.0017384339787583,1283.8955078125,65,N
498,8.73726689569382,0.187585273012523,0.00129097193447659,0.000869820869054388,1283.8955078125,65,N
74,4.67063877040584,0.046581800520097,0.00280826541578424,0.0023923259639273,1283.8955078125,65,N
1472,0.857379698715896,0.727968213504501,0.000248032786079739,6.71448504469162e-05,1283.8955078125,7,N
146,3.57330363540765,0.0657285505747039,0.00423213685062855,0.00330605593835711,1283.8955078125,65,N
147,17.3725763360184,0.0372459167158648,0.0111305646335454,0.0100872540437808,1283.8955078125,65,N
226,0.463050486053455,0.174706229337855,0.00046937871556154,0.000401529256670883,1283.8955078125,63,N
1421,0.392022936516748,0.170797542619675,0.000305334134739179,0.00021580388244328,1283.8955078125,59,N
209,1.02075530807672,0.312195779296076,0.000304103965287934,0.000197400848784292,1283.8955078125,50,N
1104,0.555490922483548,0.615476846200889,0.000365617478260737,8.75523893441831e-05,1283.8955078125,6,N
196,0.964664844762386,0.132458498901279,0.000595785818344533,0.00047576284668294,1283.8955078125,64,N
36,0.371087630836743,0.144222358520591,0.0017959270244762,0.00119649626709203,1283.8955078125,64,N
